qty_dot_url,qty_hyphen_url,qty_slash_url,qty_dot_domain,qty_hyphen_domain,qty_dot_directory,qty_hyphen_directory,length_url,domain_length,directory_length,file_length,time_response,qty_ip_resolved,qty_nameservers,phishing
3,0,0,3,0,-1,-1,16,16,-1,-1,0.142846,2,4,0
2,0,0,2,0,-1,-1,20,20,-1,-1,-1.0,1,2,0
2,0,1,2,0,0,0,12,11,1,0,5.473891,1,2,0
1,0,0,1,0,-1,-1,24,24,-1,-1,-1.0,-1,4,0
1,0,0,1,0,-1,-1,20,20,-1,-1,0.442555,1,4,0
3,0,0,3,0,-1,-1,15,15,-1,-1,0.832675,1,2,0
1,0,0,1,0,-1,-1,11,11,-1,-1,-1.0,-1,4,0
2,0,0,2,0,-1,-1,12,12,-1,-1,0.384155,2,4,0
1,0,0,1,0,-1,-1,18,18,-1,-1,-1.0,1,2,0
2,0,0,2,0,-1,-1,17,17,-1,-1,-1.0,-1,4,0
4,0,0,4,0,-1,-1,20,20,-1,-1,-1.0,1,2,0
2,0,2,2,0,0,0,31,16,15,9,0.031404,1,3,0
2,0,0,2,0,-1,-1,20,20,-1,-1,-1.0,2,2,0
1,0,1,1,0,0,0,28,27,1,0,0.597646,2,2,0
3,4,3,3,0,0,4,52,18,34,0,0.171641,2,2,0
2,0,1,2,0,0,0,16,13,3,2,0.14355,1,2,0
1,1,1,1,1,0,0,17,16,1,0,0.244224,2,3,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.160055,1,6,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.477432,1,2,0
1,0,1,1,0,0,0,13,12,1,0,2.773716,1,2,0
2,0,0,2,0,-1,-1,17,17,-1,-1,0.317398,1,4,0
2,0,2,2,0,0,0,23,15,8,0,0.452068,1,4,0
2,0,0,2,0,-1,-1,17,17,-1,-1,0.130843,1,2,0
2,0,0,2,0,-1,-1,10,10,-1,-1,-1.0,3,5,0
2,0,1,2,0,0,0,12,11,1,0,0.341854,2,2,0
1,0,0,1,0,-1,-1,11,11,-1,-1,0.347948,1,3,0
2,0,1,2,0,0,0,16,15,1,0,-1.0,-1,4,0
2,0,3,2,0,0,0,46,28,18,2,0.238697,1,2,0
2,0,0,2,0,-1,-1,12,12,-1,-1,0.6076199999999999,1,3,0
2,0,0,2,0,-1,-1,12,12,-1,-1,0.362305,1,2,0
3,0,1,3,0,0,0,27,26,1,0,-1.0,-1,6,0
2,0,0,2,0,-1,-1,22,22,-1,-1,0.938281,1,4,0
2,1,0,2,1,-1,-1,20,20,-1,-1,0.703,1,2,0
3,1,0,3,1,-1,-1,29,29,-1,-1,1.255031,1,4,0
2,0,1,2,0,0,0,20,15,5,4,0.1193359999999999,1,0,0
2,0,0,2,0,-1,-1,17,17,-1,-1,-1.0,-1,4,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.318634,1,2,0
2,0,1,2,0,0,0,21,20,1,0,0.584471,4,4,0
2,0,0,2,0,-1,-1,23,23,-1,-1,0.482521,1,4,0
2,1,0,2,1,-1,-1,17,17,-1,-1,0.118581,1,4,0
2,1,0,2,1,-1,-1,25,25,-1,-1,5.635816,1,4,0
3,2,5,2,0,1,2,64,11,53,7,0.114951,1,6,0
2,0,1,2,0,0,0,101,14,7,6,0.121367,1,4,0
1,0,2,1,0,0,0,17,10,7,0,0.160332,2,2,0
2,1,0,2,1,-1,-1,20,20,-1,-1,0.124917,2,2,0
1,0,0,1,0,-1,-1,12,12,-1,-1,0.117687,1,2,0
2,0,0,2,0,-1,-1,31,31,-1,-1,0.8586940000000001,1,4,0
3,1,0,3,1,-1,-1,18,18,-1,-1,0.827074,1,2,0
2,0,1,2,0,0,0,12,11,1,0,0.979943,1,2,0
2,0,2,2,0,0,0,27,16,11,0,4.461229,2,2,0
2,0,0,2,0,-1,-1,10,10,-1,-1,-1.0,1,2,0
2,8,3,2,0,0,8,88,14,74,60,1.015196,4,4,0
2,1,2,2,0,0,1,27,15,12,0,0.274657,2,2,0
4,0,0,4,0,-1,-1,23,23,-1,-1,0.916486,1,2,0
2,0,3,2,0,0,0,45,28,17,1,0.2447820000000001,1,2,0
2,0,3,2,0,0,0,46,28,18,2,0.2397590000000001,1,2,0
1,0,0,1,0,-1,-1,13,13,-1,-1,0.257164,1,3,0
3,0,2,2,0,1,0,36,22,14,9,-1.0,-1,2,0
3,1,0,3,1,-1,-1,17,17,-1,-1,0.575052,2,2,0
1,0,0,1,0,-1,-1,13,13,-1,-1,4.41343,3,2,0
2,0,0,2,0,-1,-1,27,27,-1,-1,0.7728970000000001,1,10,0
2,6,3,2,0,0,6,81,16,65,15,0.287438,1,2,0
2,0,2,2,0,0,0,89,16,73,67,0.031934,1,3,0
1,0,1,1,0,0,0,16,15,1,0,-1.0,-1,4,0
4,0,0,4,0,-1,-1,33,33,-1,-1,3.228977,1,2,0
1,0,0,1,0,-1,-1,12,12,-1,-1,0.260316,1,2,0
4,0,3,3,0,1,0,51,14,37,21,0.400227,1,1,0
1,0,0,1,0,-1,-1,14,14,-1,-1,0.307823,1,2,0
2,0,0,2,0,-1,-1,19,19,-1,-1,14.224847,2,2,0
2,0,1,2,0,0,0,22,21,1,0,2.2437400000000003,1,4,0
2,0,2,1,0,1,0,37,10,27,13,0.346205,1,3,0
5,0,2,4,0,1,0,40,22,18,10,-1.0,1,1,0
2,0,0,2,0,-1,-1,15,15,-1,-1,1.769193,1,5,0
2,0,1,2,0,0,0,20,19,1,0,1.486933,1,3,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.670128,1,2,0
2,0,0,2,0,-1,-1,23,23,-1,-1,0.228524,1,4,0
2,0,0,2,0,-1,-1,11,11,-1,-1,0.31803,4,3,0
2,0,0,2,0,-1,-1,14,14,-1,-1,0.483965,1,4,0
2,0,0,2,0,-1,-1,12,12,-1,-1,2.965207,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,-1.0,2,2,0
2,0,0,2,0,-1,-1,17,17,-1,-1,-1.0,-1,4,0
2,0,1,2,0,0,0,36,31,5,4,0.359383,1,4,0
4,0,0,4,0,-1,-1,29,29,-1,-1,1.428448,1,2,0
2,0,0,2,0,-1,-1,20,20,-1,-1,-1.0,-1,0,0
2,0,0,2,0,-1,-1,14,14,-1,-1,0.175465,1,2,0
2,0,1,1,0,1,0,25,14,11,10,-1.0,-1,4,0
1,0,0,1,0,-1,-1,17,17,-1,-1,0.431472,1,2,0
3,0,2,2,0,1,0,23,10,13,9,1.134972,1,2,0
1,0,2,1,0,0,0,11,6,5,0,0.098368,2,2,0
2,0,0,2,0,-1,-1,20,20,-1,-1,7.783444999999999,2,2,0
2,0,0,2,0,-1,-1,16,16,-1,-1,0.832434,4,4,0
3,0,1,3,0,0,0,25,18,7,6,0.369091,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,1.002618,1,3,0
2,0,3,2,0,0,0,45,28,17,1,0.239559,1,2,0
2,0,0,2,0,-1,-1,23,23,-1,-1,0.204172,1,12,0
2,0,0,2,0,-1,-1,26,26,-1,-1,0.284911,-1,2,0
2,0,0,2,0,-1,-1,18,18,-1,-1,0.366997,1,2,0
2,0,1,2,0,0,0,22,15,7,6,0.68035,1,5,0
2,0,0,2,0,-1,-1,16,16,-1,-1,-1.0,2,2,0
2,2,0,2,2,-1,-1,22,22,-1,-1,0.402275,1,4,0
4,0,0,4,0,-1,-1,26,26,-1,-1,1.284088,1,3,0
2,0,0,2,0,-1,-1,18,18,-1,-1,0.695276,1,2,0
2,2,1,2,2,0,0,23,22,1,0,-1.0,1,4,0
3,0,0,3,0,-1,-1,17,17,-1,-1,0.311925,1,2,0
1,0,1,1,0,0,0,12,11,1,0,0.323389,1,4,0
1,0,1,1,0,0,0,13,12,1,0,0.463201,1,2,0
1,0,0,1,0,-1,-1,11,11,-1,-1,0.922368,1,2,0
1,0,0,1,0,-1,-1,22,22,-1,-1,0.7525470000000001,2,2,0
2,0,0,2,0,-1,-1,17,17,-1,-1,0.4966430000000001,2,2,0
2,0,0,2,0,-1,-1,16,16,-1,-1,-1.0,-1,3,0
2,0,0,2,0,-1,-1,13,13,-1,-1,-1.0,1,2,0
3,0,1,3,0,0,0,18,17,1,0,1.331786,-1,1,0
3,0,0,3,0,-1,-1,17,17,-1,-1,2.077378,1,12,0
4,0,3,2,0,0,0,62,15,19,7,0.069858,1,4,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.29267,1,2,0
2,0,1,2,0,0,0,21,20,1,0,1.503781,2,2,0
2,0,0,2,0,-1,-1,22,22,-1,-1,0.922827,1,2,0
3,1,1,3,1,0,0,18,17,1,0,0.764103,1,4,0
1,0,1,1,0,0,0,20,19,1,0,0.33887,1,2,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.820525,1,2,0
1,0,1,1,0,0,0,17,16,1,0,0.8839309999999999,1,2,0
2,0,0,2,0,-1,-1,19,19,-1,-1,0.768703,1,2,0
2,0,1,2,0,0,0,30,29,1,0,0.8168949999999999,4,4,0
1,0,0,1,0,-1,-1,12,12,-1,-1,0.223667,1,5,0
2,0,0,2,0,-1,-1,14,14,-1,-1,-1.0,1,2,0
1,0,0,1,0,-1,-1,21,21,-1,-1,-1.0,-1,4,0
2,0,0,2,0,-1,-1,19,19,-1,-1,0.341781,1,4,0
2,1,0,2,1,-1,-1,19,19,-1,-1,0.098682,1,3,0
1,0,0,1,0,-1,-1,20,20,-1,-1,0.118351,1,2,0
3,0,3,2,0,1,0,50,11,39,12,0.107352,2,4,0
2,0,1,1,0,1,0,28,18,10,9,-1.0,1,2,0
1,0,0,1,0,-1,-1,8,8,-1,-1,1.272727,2,2,0
2,0,0,2,0,-1,-1,30,30,-1,-1,0.179391,1,2,0
2,0,2,2,0,0,0,22,14,8,0,0.21932,1,4,0
1,0,1,1,0,0,0,19,11,8,7,0.233102,2,10,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.130003,1,2,0
4,0,0,4,0,-1,-1,21,21,-1,-1,0.109986,1,2,0
2,0,1,2,0,0,0,27,21,6,5,0.095444,1,4,0
2,0,0,2,0,-1,-1,16,16,-1,-1,-1.0,-1,4,0
2,0,0,2,0,-1,-1,13,13,-1,-1,-1.0,-1,2,0
2,1,1,2,0,0,0,34,15,6,5,0.1711069999999999,1,4,0
2,0,0,2,0,-1,-1,28,28,-1,-1,0.384165,1,4,0
2,3,5,2,0,0,3,58,15,43,0,1.925018,1,2,0
2,0,0,2,0,-1,-1,18,18,-1,-1,0.36369,1,2,0
2,0,0,2,0,-1,-1,19,19,-1,-1,-1.0,-1,4,0
2,0,3,2,0,0,0,47,28,19,3,0.238935,1,2,0
1,0,0,1,0,-1,-1,9,9,-1,-1,0.730466,1,2,0
2,0,2,2,0,0,0,24,17,7,0,0.184981,5,2,0
1,1,2,1,0,0,1,26,15,11,7,0.396958,1,2,0
3,0,2,2,0,1,0,31,16,15,0,0.226467,1,2,0
2,0,0,2,0,-1,-1,15,15,-1,-1,1.476573,1,3,0
2,0,0,2,0,-1,-1,18,18,-1,-1,0.219514,2,4,0
2,0,0,2,0,-1,-1,10,10,-1,-1,0.30574,1,2,0
2,0,1,2,0,0,0,17,16,1,0,0.47339,1,8,0
1,0,0,1,0,-1,-1,18,18,-1,-1,1.094073,2,2,0
2,0,0,2,0,-1,-1,13,13,-1,-1,-1.0,-1,2,0
3,0,0,3,0,-1,-1,14,14,-1,-1,1.5624049999999998,1,1,0
1,0,1,1,0,0,0,20,19,1,0,0.4985189999999999,1,4,0
2,0,1,2,0,0,0,53,14,7,6,0.110578,1,4,0
3,0,0,3,0,-1,-1,19,19,-1,-1,0.988394,1,2,0
4,0,0,4,0,-1,-1,23,23,-1,-1,2.245846,1,4,0
1,0,1,1,0,0,0,11,10,1,0,5.706109,1,6,0
2,1,0,2,1,-1,-1,18,18,-1,-1,-1.0,-1,4,0
2,0,0,2,0,-1,-1,21,21,-1,-1,0.410219,1,5,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.371841,1,2,0
2,0,0,2,0,-1,-1,15,15,-1,-1,1.149791,1,2,0
2,2,0,2,2,-1,-1,21,21,-1,-1,0.700751,1,2,0
1,0,0,1,0,-1,-1,12,12,-1,-1,0.478496,4,4,0
2,0,0,2,0,-1,-1,18,18,-1,-1,-1.0,1,2,0
4,0,3,3,0,1,0,40,19,21,10,0.231372,1,10,0
2,0,0,2,0,-1,-1,21,21,-1,-1,0.358515,2,4,0
3,0,1,3,0,0,0,16,15,1,0,2.929208,1,4,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.676009,1,2,0
2,0,0,2,0,-1,-1,19,19,-1,-1,-1.0,1,2,0
1,0,0,1,0,-1,-1,18,18,-1,-1,1.2766540000000002,2,3,0
3,0,0,3,0,-1,-1,20,20,-1,-1,0.496784,1,3,0
2,0,0,2,0,-1,-1,23,23,-1,-1,-1.0,-1,3,0
2,0,0,2,0,-1,-1,37,37,-1,-1,0.344878,3,6,0
2,0,1,2,0,0,0,20,19,1,0,0.227482,2,2,0
1,0,0,1,0,-1,-1,11,11,-1,-1,0.191183,1,4,0
3,0,0,3,0,-1,-1,24,24,-1,-1,0.423455,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,0.364733,1,2,0
3,0,1,3,0,0,0,22,21,1,0,0.201858,1,6,0
3,0,2,3,0,0,0,21,13,8,0,0.205534,4,4,0
2,0,0,2,0,-1,-1,12,12,-1,-1,0.218403,1,3,0
3,0,0,3,0,-1,-1,14,14,-1,-1,1.965501,1,2,0
1,0,0,1,0,-1,-1,20,20,-1,-1,0.663607,1,2,0
1,0,0,1,0,-1,-1,15,15,-1,-1,0.216021,1,2,0
2,0,0,2,0,-1,-1,20,20,-1,-1,1.001318,1,2,0
2,0,1,2,0,0,0,20,19,1,0,1.105045,1,4,0
2,0,1,2,0,0,0,20,19,1,0,0.291451,1,2,0
1,0,0,1,0,-1,-1,14,14,-1,-1,-1.0,-1,4,0
2,0,0,2,0,-1,-1,21,21,-1,-1,-1.0,-1,4,0
2,0,1,2,0,0,0,22,15,7,6,0.617305,1,5,0
2,0,2,2,0,0,0,30,22,8,0,0.218678,1,3,0
2,0,0,2,0,-1,-1,19,19,-1,-1,2.573295,1,2,0
2,0,0,2,0,-1,-1,19,19,-1,-1,1.159501,1,2,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.484619,1,2,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.235125,1,2,0
3,0,1,3,0,0,0,17,16,1,0,1.7664240000000002,1,6,0
2,0,0,2,0,-1,-1,16,16,-1,-1,0.285167,1,2,0
2,0,1,2,0,0,0,49,15,6,5,0.164203,1,4,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.6468189999999999,1,4,0
1,0,0,1,0,-1,-1,11,11,-1,-1,-1.0,-1,2,0
4,0,0,4,0,-1,-1,20,20,-1,-1,2.029075,1,2,0
4,0,0,4,0,-1,-1,20,20,-1,-1,0.507124,1,2,0
1,0,1,1,0,0,0,9,8,1,0,2.685379,2,2,0
2,0,0,2,0,-1,-1,24,24,-1,-1,0.17935,1,4,0
2,0,2,2,0,0,0,19,12,7,0,0.0754799999999999,1,2,0
2,0,1,2,0,0,0,22,21,1,0,0.310837,2,2,0
1,0,0,1,0,-1,-1,12,12,-1,-1,0.1693339999999999,2,2,0
1,0,2,1,0,0,0,23,16,7,0,0.688286,1,2,0
2,9,5,2,0,0,9,88,19,69,0,1.486777,2,2,0
3,0,0,3,0,-1,-1,21,21,-1,-1,0.543075,1,2,0
1,0,0,1,0,-1,-1,15,15,-1,-1,-1.0,-1,4,0
2,0,3,2,0,0,0,35,16,19,0,0.136503,2,5,0
2,0,0,2,0,-1,-1,23,23,-1,-1,0.36536,1,4,0
1,0,1,1,0,0,0,23,22,1,0,0.897136,4,2,0
2,0,1,2,0,0,0,23,22,1,0,2.028248,1,2,0
3,0,1,3,0,0,0,30,29,1,0,-1.0,-1,4,0
2,0,1,2,0,0,0,15,14,1,0,0.371539,3,2,0
2,0,0,2,0,-1,-1,22,22,-1,-1,0.489696,1,4,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.225161,2,4,0
2,0,1,2,0,0,0,90,14,7,6,0.110045,1,4,0
2,0,1,2,0,0,0,22,21,1,0,1.082555,2,2,0
2,0,1,2,0,0,0,18,17,1,0,0.309682,1,2,0
1,1,3,1,0,0,1,33,9,24,0,0.858649,1,2,0
1,0,0,1,0,-1,-1,12,12,-1,-1,1.546181,1,1,0
2,0,3,2,0,0,0,46,28,18,2,0.239781,1,2,0
2,0,5,2,0,0,0,53,19,34,0,0.137155,1,2,0
1,0,0,1,0,-1,-1,8,8,-1,-1,0.289522,1,2,0
3,0,2,3,0,0,0,31,26,5,0,0.933516,1,1,0
3,0,0,3,0,-1,-1,16,16,-1,-1,-1.0,-1,2,0
1,0,0,1,0,-1,-1,17,17,-1,-1,0.5578569999999999,3,3,0
5,0,0,5,0,-1,-1,28,28,-1,-1,0.99062,1,2,0
1,0,3,1,0,0,0,34,17,17,0,1.460515,2,3,0
1,0,1,1,0,0,0,11,10,1,0,0.7270399999999999,1,3,0
2,0,0,2,0,-1,-1,10,10,-1,-1,0.150616,1,6,0
3,0,1,3,0,0,0,22,21,1,0,1.730156,2,4,0
2,0,1,2,0,0,0,27,26,1,0,0.193655,1,2,0
2,0,3,2,0,0,0,47,28,19,3,0.238132,1,2,0
1,0,0,1,0,-1,-1,12,12,-1,-1,0.48108,1,2,0
4,0,0,4,0,-1,-1,18,18,-1,-1,0.27626,1,2,0
2,0,0,2,0,-1,-1,16,16,-1,-1,2.561885,2,2,0
2,0,2,2,0,0,0,43,16,27,21,0.031279,1,3,0
2,0,0,2,0,-1,-1,12,12,-1,-1,1.496351,1,2,0
3,5,3,2,0,1,5,74,26,48,39,0.252037,1,4,0
3,0,0,3,0,-1,-1,17,17,-1,-1,0.5266489999999999,1,5,0
2,0,0,2,0,-1,-1,17,17,-1,-1,-1.0,-1,2,0
2,0,0,2,0,-1,-1,16,16,-1,-1,-1.0,1,3,0
2,0,1,2,0,0,0,34,15,6,5,0.162225,1,4,0
2,1,0,2,1,-1,-1,17,17,-1,-1,-1.0,-1,4,0
2,0,1,2,0,0,0,30,29,1,0,0.279191,1,4,0
4,0,0,4,0,-1,-1,35,35,-1,-1,0.8962180000000001,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,0.136844,1,3,0
4,0,0,4,0,-1,-1,21,21,-1,-1,0.768638,1,2,0
2,0,1,2,0,0,0,16,15,1,0,1.498435,1,2,0
2,0,1,2,0,0,0,19,18,1,0,0.1047369999999999,1,4,0
3,1,1,2,1,1,0,94,17,10,9,0.230089,1,2,0
2,0,0,2,0,-1,-1,22,22,-1,-1,-1.0,-1,4,0
2,0,2,2,0,0,0,18,11,7,0,1.038117,4,4,0
2,0,0,2,0,-1,-1,21,21,-1,-1,-1.0,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,0.446157,1,2,0
2,0,0,2,0,-1,-1,23,23,-1,-1,0.640714,2,4,0
2,0,1,2,0,0,0,17,16,1,0,0.0352339999999999,1,6,0
2,0,0,2,0,-1,-1,20,20,-1,-1,-1.0,-1,4,0
2,0,1,2,0,0,0,26,25,1,0,0.296754,1,4,0
2,1,0,2,1,-1,-1,13,13,-1,-1,-1.0,-1,4,0
2,0,1,2,0,0,0,24,17,7,6,0.024973,1,3,0
1,0,1,1,0,0,0,11,10,1,0,-1.0,1,5,0
2,0,1,2,0,0,0,16,15,1,0,-1.0,1,4,0
2,2,2,2,0,0,0,50,15,16,10,0.184543,1,4,0
5,0,0,5,0,-1,-1,35,35,-1,-1,0.895122,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,5.52338,1,2,0
3,0,1,3,0,0,0,23,22,1,0,-1.0,-1,2,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.235987,1,3,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.038998,1,2,0
1,0,0,1,0,-1,-1,10,10,-1,-1,-1.0,-1,4,0
1,0,0,1,0,-1,-1,14,14,-1,-1,0.769574,1,2,0
1,1,0,1,1,-1,-1,13,13,-1,-1,1.224289,2,2,0
3,0,0,3,0,-1,-1,20,20,-1,-1,0.279556,2,4,0
2,0,2,2,0,0,0,21,14,7,0,0.220436,1,2,0
1,0,1,1,0,0,0,15,14,1,0,1.891559,1,3,0
2,0,1,2,0,0,0,18,17,1,0,0.24755,1,3,0
4,0,0,4,0,-1,-1,21,21,-1,-1,1.537138,1,2,0
3,0,0,3,0,-1,-1,15,15,-1,-1,0.464128,1,2,0
2,0,0,2,0,-1,-1,18,18,-1,-1,0.273809,1,2,0
2,2,0,2,2,-1,-1,21,21,-1,-1,0.716841,1,2,0
1,0,0,1,0,-1,-1,7,7,-1,-1,0.513433,1,2,0
2,0,0,2,0,-1,-1,24,24,-1,-1,0.317665,1,4,0
2,0,0,2,0,-1,-1,21,21,-1,-1,1.833383,1,2,0
2,0,0,2,0,-1,-1,20,20,-1,-1,0.194017,1,7,0
3,0,0,3,0,-1,-1,28,28,-1,-1,0.258487,1,4,0
2,0,0,2,0,-1,-1,22,22,-1,-1,0.129553,4,6,0
2,0,0,2,0,-1,-1,16,16,-1,-1,0.45558,1,3,0
1,0,0,1,0,-1,-1,11,11,-1,-1,0.361872,2,2,0
2,0,0,2,0,-1,-1,17,17,-1,-1,0.364105,1,2,0
3,0,0,3,0,-1,-1,16,16,-1,-1,0.265429,1,2,0
2,0,2,2,0,0,0,20,12,8,4,1.366308,1,3,0
3,4,3,3,0,0,4,87,23,64,44,0.330676,2,2,0
2,0,0,2,0,-1,-1,16,16,-1,-1,0.7798,1,2,0
1,0,1,1,0,0,0,13,12,1,0,0.248083,2,2,0
2,0,5,2,0,0,0,35,12,23,0,0.733432,1,3,0
1,0,0,1,0,-1,-1,13,13,-1,-1,3.121282,2,2,0
4,0,0,4,0,-1,-1,31,31,-1,-1,1.0131139999999998,1,2,0
1,1,4,1,0,0,1,48,16,32,5,0.142507,2,2,0
1,0,0,1,0,-1,-1,9,9,-1,-1,0.192561,2,2,0
2,0,0,2,0,-1,-1,18,18,-1,-1,1.803448,1,2,0
2,0,2,2,0,0,0,22,16,6,0,0.540686,1,2,0
2,1,1,2,1,0,0,19,18,1,0,0.431797,1,2,0
3,0,0,3,0,-1,-1,15,15,-1,-1,0.299015,-1,1,0
2,0,0,2,0,-1,-1,10,10,-1,-1,-1.0,1,5,0
2,0,0,2,0,-1,-1,24,24,-1,-1,0.438507,1,4,0
2,0,0,2,0,-1,-1,17,17,-1,-1,-1.0,1,2,0
1,0,2,1,0,0,0,21,15,6,0,1.230096,1,2,0
2,0,1,2,0,0,0,23,22,1,0,-1.0,1,2,0
3,0,1,3,0,0,0,16,15,1,0,-1.0,1,2,0
2,0,0,2,0,-1,-1,13,13,-1,-1,-1.0,1,4,0
2,0,1,2,0,0,0,14,13,1,0,0.567591,1,4,0
2,0,0,2,0,-1,-1,11,11,-1,-1,-1.0,-1,2,0
2,0,0,2,0,-1,-1,16,16,-1,-1,-1.0,-1,3,0
2,0,0,2,0,-1,-1,27,27,-1,-1,1.196755,1,2,0
2,0,0,2,0,-1,-1,11,11,-1,-1,0.246019,1,2,0
1,0,0,1,0,-1,-1,13,13,-1,-1,1.101508,1,4,0
2,0,0,2,0,-1,-1,22,22,-1,-1,0.398112,1,2,0
3,0,0,3,0,-1,-1,18,18,-1,-1,-1.0,-1,2,0
3,0,0,3,0,-1,-1,19,19,-1,-1,0.128139,1,2,0
2,0,1,2,0,0,0,19,18,1,0,1.919877,4,4,0
1,0,0,1,0,-1,-1,18,18,-1,-1,0.555232,2,2,0
2,0,1,2,0,0,0,19,18,1,0,0.6544,2,2,0
2,0,0,2,0,-1,-1,18,18,-1,-1,0.32829,4,4,0
2,0,0,2,0,-1,-1,15,15,-1,-1,0.533989,2,2,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.150439,1,5,0
2,0,0,2,0,-1,-1,19,19,-1,-1,0.298996,1,2,0
4,0,1,4,0,0,0,33,26,7,6,1.882062,1,2,0
4,0,0,4,0,-1,-1,21,21,-1,-1,1.545605,1,2,0
1,0,0,1,0,-1,-1,14,14,-1,-1,0.726638,2,2,0
2,0,0,2,0,-1,-1,17,17,-1,-1,0.152534,1,4,0
2,0,0,2,0,-1,-1,19,19,-1,-1,0.458521,1,2,0
2,0,0,2,0,-1,-1,22,22,-1,-1,-1.0,-1,4,0
2,0,1,2,0,0,0,12,11,1,0,0.123554,1,2,0
1,0,1,1,0,0,0,12,11,1,0,1.336595,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,0.812851,1,5,0
3,0,1,2,0,1,0,36,22,14,13,0.387536,1,2,0
1,0,1,1,0,0,0,33,20,1,0,1.118476,1,2,0
1,0,0,1,0,-1,-1,16,16,-1,-1,-1.0,-1,4,0
2,0,1,2,0,0,0,26,25,1,0,0.984308,1,3,0
2,0,0,2,0,-1,-1,20,20,-1,-1,0.080288,1,5,0
3,1,1,2,0,1,0,36,16,14,13,0.6145010000000001,1,2,0
2,5,1,2,0,0,5,47,15,32,31,0.330678,3,4,0
2,0,1,2,0,0,0,23,22,1,0,0.586626,1,2,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.281243,1,2,0
2,0,1,2,0,0,0,14,13,1,0,0.149869,1,8,0
2,0,0,2,0,-1,-1,19,19,-1,-1,2.43463,3,2,0
2,0,0,2,0,-1,-1,13,13,-1,-1,0.285874,2,2,0
2,0,2,1,0,1,0,32,10,15,9,0.255361,1,2,0
2,0,0,2,0,-1,-1,14,14,-1,-1,0.221465,1,2,0
